id,created_at,color,roll
3V1qwDXzlB,2025-08-03 18:14:06,red,7
MerWen54kX,2025-08-03 18:14:36,white,0
N8r2opX71b,2025-08-03 18:15:06,black,8
Y8kG73gWkZ,2025-08-03 18:15:37,red,4
DV1aeMzj1e,2025-08-03 18:16:07,red,3
JblRmPgRkO,2025-08-03 18:16:37,red,2
AKl5ROX8r9,2025-08-03 18:17:07,red,3
O2l46dPz1n,2025-08-03 18:17:37,red,2
8LknaX0V13,2025-08-03 18:18:07,black,8
eRlv8ynW1j,2025-08-03 18:18:37,white,0
04lQmXgJln,2025-08-03 18:19:07,red,6
zokgZJ5g1y,2025-08-03 18:19:37,white,0
4J1mX4g3rj,2025-08-03 18:20:07,black,14
Jw1DPG7D1E,2025-08-03 18:20:37,red,5
2O1BX6QLlK,2025-08-03 18:21:37,red,1
4ekjRzgWk9,2025-08-03 18:22:07,red,2
YArwwbzRrz,2025-08-03 18:22:37,red,2
pJ1ovRJmrd,2025-08-03 18:23:07,red,4
KV16xK5GlB,2025-08-03 18:23:37,red,1
96rX6PLwkO,2025-08-03 18:24:08,red,7
mDlZwNggrj,2025-08-03 18:24:38,black,8
9YrJNGoZrK,2025-08-03 18:25:08,red,7
jxrM7R58kQ,2025-08-03 18:25:38,black,11
LKl3WYGMlN,2025-08-03 18:26:08,black,12
WplzmdYmkn,2025-08-03 18:26:38,red,7
yAlAVeqbrG,2025-08-03 18:27:08,red,3
3Ery2YZw1j,2025-08-03 18:27:38,red,1
KRkb4JYJrL,2025-08-03 18:28:08,red,2
GR1pDvmG15,2025-08-03 18:28:38,black,12
3elYeDz6lL,2025-08-03 18:29:08,black,12
OWld4JmDl3,2025-08-03 18:29:38,red,6
AXlOXP67rO,2025-08-03 18:30:08,black,14
M9rKazO2k6,2025-08-03 18:30:38,black,8
WG17a7JmlZ,2025-08-03 18:31:08,black,11
BylLPGgmlG,2025-08-03 18:31:38,red,5
gM19qe601A,2025-08-03 18:32:08,red,3
xmlNmxdOkv,2025-08-03 18:32:38,black,11
yAlAVeqArG,2025-08-03 18:33:09,red,4
3Ery2YZE1j,2025-08-03 18:33:39,black,12
KRkb4JYRrL,2025-08-03 18:34:09,black,11
GR1pDvmd15,2025-08-03 18:34:39,red,4
3elYeDzKlL,2025-08-03 18:35:09,red,1
OWld4Jmel3,2025-08-03 18:35:39,white,0
AXlOXP6ZrO,2025-08-03 18:36:09,red,3
M9rKazOPk6,2025-08-03 18:36:39,red,7
WG17a7JPlZ,2025-08-03 18:37:09,red,6
BylLPGg5lG,2025-08-03 18:37:39,red,2
gM19qe6L1A,2025-08-03 18:38:09,red,5
xmlNmxdWkv,2025-08-03 18:38:39,red,7
7dlEPmeykv,2025-08-03 18:39:09,black,13
QqlPmXVPrz,2025-08-03 18:39:39,red,6
EV1eaJ6R1o,2025-08-03 18:40:09,red,6
Nz1xzpOGlp,2025-08-03 18:40:39,red,7
V5k0XyqvkY,2025-08-03 18:41:09,black,9
vRl8RLjM1K,2025-08-03 18:41:39,black,10
3V1qwDV3lB,2025-08-03 18:42:10,white,0
MerWengNkX,2025-08-03 18:42:40,black,10
N8r2opwB1b,2025-08-03 18:43:10,red,3
Y8kG73NekZ,2025-08-03 18:43:40,white,0
DV1aeMw91e,2025-08-03 18:44:10,black,14
JblRmPawkO,2025-08-03 18:44:40,black,8
AKl5ROGvr9,2025-08-03 18:45:10,black,9
O2l46d2G1n,2025-08-03 18:45:40,black,13
8LknaXq013,2025-08-03 18:46:10,black,8
eRlv8yAa1j,2025-08-03 18:46:41,red,4
04lQmX66ln,2025-08-03 18:47:11,white,0
zokgZJ6L1y,2025-08-03 18:47:41,black,14
4J1mX4Vxrj,2025-08-03 18:48:11,red,1
Jw1DPGQP1E,2025-08-03 18:48:41,red,5
o5rVGP4K1K,2025-08-03 18:49:11,red,3
2O1BX6EAlK,2025-08-03 18:49:41,black,10
4ekjRzezk9,2025-08-03 18:50:11,red,6
YArwwbyQrz,2025-08-03 18:50:41,black,13
pJ1ovRo8rd,2025-08-03 18:51:11,red,5
KV16xKzplB,2025-08-03 18:51:41,black,8
96rX6P4VkO,2025-08-03 18:52:11,black,12
mDlZwNW6rj,2025-08-03 18:52:42,black,9
9YrJNGZwrK,2025-08-03 18:53:12,black,14
jxrM7R6XkQ,2025-08-03 18:53:42,black,11
LKl3WYE9lN,2025-08-03 18:54:12,red,7
WplzmdVokn,2025-08-03 18:54:42,black,9
yAlAVedArG,2025-08-03 18:55:12,red,6
3Ery2YpE1j,2025-08-03 18:55:42,black,11
KRkb4JgRrL,2025-08-03 18:56:12,red,1
GR1pDvJd15,2025-08-03 18:56:42,red,3
3elYeDwKlL,2025-08-03 18:57:12,black,8
OWld4Jvel3,2025-08-03 18:57:42,red,5
AXlOXPWZrO,2025-08-03 18:58:12,white,0
M9rKaz6Pk6,2025-08-03 18:58:42,black,11
WG17a76PlZ,2025-08-03 18:59:12,red,2
BylLPG65lG,2025-08-03 18:59:42,red,4
